Id,SalePrice
1461,104289.4006
1462,139757.5137
1463,175830.1872
1464,189300.0947
1465,210732.7446
1466,167436.0222
1467,180535.3775
1468,158102.1485
1469,206838.0641
1470,117633.0499
1471,154578.1944
1472,100959.3909
1473,92021.57678
1474,141630.728
1475,98552.44172
1476,370335.8175
1477,258030.6227
1478,321102.6126
1479,319546.776
1480,465088.2851
1481,311996.6042
1482,216899.838
1483,169868.1635
1484,162429.7617
1485,192677.166
1486,190196.4854
1487,337048.0682
1488,230269.7089
1489,199682.9822
1490,249891.5012
1491,200571.5656
1492,92264.43723
1493,211090.043
1494,307753.9784
1495,285793.226
1496,245327.9385
1497,169411.9225
1498,171932.9616
1499,160233.3322
1500,153392.2686
1501,196083.7097
1502,140609.5337
1503,289090.3596
1504,237993.1825
1505,223286.5114
1506,189169.7585
1507,241157.8611
1508,191754.1004
1509,154369.2765
1510,147062.9047
1511,151231.2606
1512,174658.111
1513,162378.8596
1514,159708.035
1515,202118.2197
1516,159445.8053
1517,173755.8706
1518,118956.7914
1519,215170.6857
1520,119965.1264
1521,124510.8349
1522,188086.407
1523,109107.1873
1524,118796.7801
1525,111778.2131
1526,104719.56
1527,102917.601
1528,129603.7233
1529,150989.6085
1530,215705.2225
1531,135265.5446
1532,103353.011
1533,155120.5266
1534,120113.8267
1535,144374.0978
1536,99155.73259
1537,39641.89943
1538,157507.4253
1539,206113.2379
1540,118123.5512
1541,136466.564
1542,146486.5057
1543,183231.0572
1544,88274.16537
1545,120286.5033
1546,146467.468
1547,131537.9624
1548,150881.9411
1549,131609.2395
1550,149855.3279
1551,106228.4839
1552,151324.1324
1553,152832.9285
1554,116900.5166
1555,146466.1716
1556,63368.38977
1557,122982.1994
1558,103811.3289
1559,81397.20623
1560,125023.8983
1561,125191.1973
1562,126542.0194
1563,124614.1599
1564,157241.5362
1565,148912.605
1566,229786.8264
1567,67288.18365
1568,227705.5934
1569,120563.8815
1570,135755.4287
1571,81683.51858
1572,139358.2811
1573,240988.5471
1574,135339.1368
1575,241493.8065
1576,237890.1517
1577,184155.9056
1578,156473.1534
1579,140053.2886
1580,196178.6516
1581,154823.9767
1582,138547.2486
1583,269458.9369
1584,219755.8045
1585,140583.9298
1586,62341.35251
1587,111919.0967
1588,157573.3733
1589,101898.4099
1590,129197.4242
1591,86582.21285
1592,124456.2215
1593,140743.5305
1594,147238.3231
1595,114161.171
1596,220026.7217
1597,207894.2897
1598,214643.0544
1599,182297.7942
1600,165078.8476
1601,54418.09781
1602,125069.0727
1603,62354.26339
1604,277199.3861
1605,229460.4307
1606,159089.03
1607,169542.0858
1608,206636.7402
1609,188796.5297
1610,153054.1376
1611,137379.6867
1612,184340.4173
1613,165595.4887
1614,139572.9458
1615,93679.85478
1616,66243.16956
1617,81093.25838
1618,128362.4639
1619,152027.856
1620,171322.4256
1621,125280.3154
1622,151177.2897
1623,250280.3583
1624,199296.7865
1625,114768.0653
1626,175773.6973
1627,183436.4817
1628,276939.578
1629,183040.6611
1630,349433.7582
1631,250140.9339
1632,245964.0071
1633,186159.4829
1634,184810.7087
1635,175407.1673
1636,147536.594
1637,192146.3898
1638,175793.2742
1639,183193.5733
1640,240244.0049
1641,178288.8838
1642,260233.3052
1643,215782.9807
1644,233556.5297
1645,206116.3723
1646,161486.8271
1647,158690.0984
1648,133114.0117
1649,136723.1959
1650,114971.9167
1651,115923.5668
1652,101043.6963
1653,97714.98112
1654,140614.3898
1655,121197.5299
1656,139530.6248
1657,151466.6799
1658,147144.1028
1659,120497.3779
1660,150863.3205
1661,415893.7244
1662,380807.3466
1663,377367.7354
1664,467195.3327
1665,333173.9891
1666,322862.5052
1667,360471.9043
1668,365885.5682
1669,327487.5358
1670,359157.446
1671,265179.9952
1672,395452.8422
1673,292982.2103
1674,248472.0257
1675,205402.8007
1676,208154.8698
1677,215906.9783
1678,454422.4321
1679,382725.7237
1680,336648.725
1681,287607.0486
1682,324052.2718
1683,197414.3575
1684,174914.6143
1685,174484.544
1686,162652.5784
1687,169276.4904
1688,182286.2008
1689,190612.4096
1690,196830.1369
1691,188681.5257
1692,257514.0837
1693,177441.4742
1694,183987.3656
1695,175841.2603
1696,256155.0609
1697,183212.8017
1698,332840.7619
1699,337932.1429
1700,272664.6256
1701,285879.4929
1702,225995.0857
1703,227046.1512
1704,262577.8476
1705,253653.5137
1706,226924.3894
1707,227374.1283
1708,204683.6881
1709,245276.3745
1710,222627.0798
1711,274153.7732
1712,252436.3787
1713,278105.6332
1714,214944.6247
1715,209107.6066
1716,179479.2775
1717,180749.1804
1718,146146.1021
1719,224982.0047
1720,225536.2744
1721,152270.8085
1722,117515.1115
1723,150877.2843
1724,215104.5686
1725,239858.3583
1726,184075.9042
1727,149648.748
1728,165686.5588
1729,179567.9539
1730,162889.3475
1731,118463.7369
1732,127972.3788
1733,113337.8903
1734,125317.4397
1735,109159.6114
1736,94087.27246
1737,276780.5564
1738,269760.815
1739,251349.7787
1740,212369.6858
1741,185649.2997
1742,175992.4969
1743,170884.9671
1744,337039.7384
1745,216865.7589
1746,194660.7243
1747,212900.3863
1748,210748.8699
1749,129664.9095
1750,121708.0576
1751,230877.1354
1752,112415.1648
1753,156559.5868
1754,192750.2193
1755,165216.7397
1756,149410.893
1757,120698.8319
1758,150123.6437
1759,161739.8092
1760,162583.1119
1761,144717.4192
1762,189381.5729
1763,192378.8863
1764,113495.0156
1765,179327.3706
1766,185513.2252
1767,215676.924
1768,139504.2231
1769,166685.9157
1770,159109.044
1771,120689.808
1772,131042.2035
1773,114712.4602
1774,148480.6326
1775,147737.4715
1776,140666.4353
1777,108276.9152
1778,146806.8864
1779,132866.4764
1780,163861.8596
1781,128167.782
1782,73587.20876
1783,140888.8997
1784,93687.19745
1785,139055.2629
1786,103511.6894
1787,157329.5451
1788,48005.71134
1789,103658.1006
1790,66860.1213
1791,198465.9766
1792,163531.138
1793,135297.1766
1794,169338.1433
1795,132113.9726
1796,142059.9984
1797,120293.7551
1798,126026.5376
1799,103460.8824
1800,128721.1871
1801,124655.8992
1802,114642.2863
1803,159669.8533
1804,125677.5248
1805,136676.5708
1806,125598.3106
1807,153207.3085
1808,124915.6328
1809,132568.9091
1810,144709.7074
1811,89162.8796
1812,105788.101
1813,134202.7697
1814,102027.7818
1815,43894.49553
1816,90801.65568
1817,107257.3404
1818,169224.1473
1819,128123.5755
1820,42448.45742
1821,109630.5171
1822,153650.4421
1823,47884.11918
1824,142572.0519
1825,148338.1411
1826,93098.29362
1827,102395.7078
1828,146745.3289
1829,147387.3211
1830,149844.0535
1831,154856.3879
1832,63596.9476
1833,152499.6852
1834,113318.5841
1835,109325.5892
1836,124594.2503
1837,75587.39228
1838,111278.6681
1839,107011.0698
1840,166281.9734
1841,135157.7811
1842,92054.58721
1843,131234.8008
1844,155244.162
1845,141753.8847
1846,152235.0046
1847,172055.7847
1848,36127.26477
1849,120207.036
1850,116515.5696
1851,140349.1569
1852,121882.5957
1853,114788.7023
1854,158302.996
1855,155511.9229
1856,221819.8771
1857,120554.5969
1858,141930.3678
1859,114586.237
1860,140157.4847
1861,117529.0088
1862,311564.3399
1863,298490.3447
1864,298507.6103
1865,359835.0867
1866,342982.9729
1867,216250.6062
1868,279318.906
1869,208007.5488
1870,217267.0532
1871,268835.0673
1872,175421.8149
1873,239007.1338
1874,142889.1509
1875,182116.7868
1876,199096.2633
1877,199628.0436
1878,197070.4913
1879,137164.068
1880,130161.134
1881,232903.4799
1882,233147.6877
1883,178178.3631
1884,199855.2115
1885,228001.6388
1886,285600.3448
1887,217418.1207
1888,250995.8266
1889,167952.554
1890,102152.3602
1891,122065.694
1892,95512.67373
1893,124947.5593
1894,117229.0585
1895,133183.0341
1896,123973.1223
1897,104162.202
